,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, COMPILED DATA FOR THE ENTIRE SURFACES ,,,,,,,,
 Fan: ,, Big Dip ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Big Dip ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, BIG DIP ,,,,, BIG DIP ,,,
 Surface: ,, Modern ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 70 ka ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, MODERN ,,,,, 70 ka ,,,
,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,, Interval: , 0.50 ,,,, Interval: , 0.50 ,,,, Interval: , 0.50 ,
,, Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density ,, Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density , Count , _ , Bin Array , Freq Density ,, Count , _ , Bin Array , Freq Density ,, Count , _ , Bin Array , Freq Density 
 1 ,, 1 ,-1.14 ,-4.00 , -   , 1 ,-1.23 ,-4.00 , -   , 1 ,-1.10 ,-4.00 , -   , 1 ,-1.16 ,-4.00 , -   , 1 ,-1.23 ,-4.00 , -   , 1 ,-1.31 ,-4.00 , -   , 1 ,-1.06 ,-4.00 , -   , 1 ,-1.35 ,-4.00 , -   , 2 ,-1.31 ,-4.00 , -   , 1 ,-1.14 ,-4.00 , -   , 1 ,-1.50 ,-4.00 , -   , 1 ,-1.03 ,-4.00 , -   , 1 ,-1.38 ,-4.00 , -   , 1 ,-0.94 ,-4.00 , -   , 1 ,-1.02 ,-4.00 , -   , 1 ,-1.39 ,-4.00 , -   , 1 ,-0.96 ,-4.00 , -   , 1 ,-1.54 ,-4.00 , -   , 1 ,-1.21 ,-4.00 , -   ,, 1 ,-1.35 ,-4.00 , -   , 1 ,-1.05 ,-4.00 , -   , 2 ,-1.61 ,-4.00 , -   , 1 ,-1.26 ,-4.00 , -   , 1 ,-1.21 ,-4.00 , -   , 1 ,-1.04 ,-4.00 , -   , 1 ,-1.25 ,-4.00 , -   , 1 ,-1.04 ,-4.00 , -   , 1 ,-1.09 ,-4.00 , -   , 1 ,-1.33 ,-4.00 , -   , 1 ,-1.28 ,-4.00 , -   , 1 ,-1.29 ,-4.00 , -   , 1 ,-1.14 ,-4.00 , -   , 1 ,-1.09 ,-4.00 , -   , 2 ,-1.23 ,-4.00 , -   , 2 ,-1.14 ,-4.00 , -   , 1 ,-1.11 ,-4.00 , -   , 1 ,-1.21 ,-4.00 , -   , 1 ,-1.15 ,-4.00 , -   , 33 , 0.48 ,-4.00 , -   , 12 ,-0.50 ,-4.00 , -   ,, 1 ,-1.16 ,-4.00 , -   ,, 1 ,-1.16 ,-4.00 , -   
 2 ,, 2 ,-1.07 ,-3.50 , -   , 1 ,-1.23 ,-3.50 , -   , 1 ,-1.10 ,-3.50 , -   , 1 ,-1.16 ,-3.50 , -   , 2 ,-1.18 ,-3.50 , -   , 2 ,-1.24 ,-3.50 , -   , 1 ,-1.06 ,-3.50 , -   , 1 ,-1.35 ,-3.50 , -   , 2 ,-1.31 ,-3.50 , -   , 1 ,-1.14 ,-3.50 , -   , 1 ,-1.50 ,-3.50 , -   , 1 ,-1.03 ,-3.50 , -   , 1 ,-1.38 ,-3.50 , -   , 1 ,-0.94 ,-3.50 , -   , 2 ,-0.98 ,-3.50 , -   , 2 ,-1.32 ,-3.50 , -   , 2 ,-0.92 ,-3.50 , -   , 1 ,-1.54 ,-3.50 , -   , 1 ,-1.21 ,-3.50 , -   ,, 1 ,-1.35 ,-3.50 , -   , 1 ,-1.05 ,-3.50 , -   , 2 ,-1.61 ,-3.50 , -   , 2 ,-1.19 ,-3.50 , -   , 1 ,-1.21 ,-3.50 , -   , 2 ,-0.99 ,-3.50 , -   , 2 ,-1.20 ,-3.50 , -   , 1 ,-1.04 ,-3.50 , -   , 2 ,-1.04 ,-3.50 , -   , 2 ,-1.27 ,-3.50 , -   , 1 ,-1.28 ,-3.50 , -   , 2 ,-1.24 ,-3.50 , -   , 1 ,-1.14 ,-3.50 , -   , 1 ,-1.09 ,-3.50 , -   , 2 ,-1.23 ,-3.50 , -   , 2 ,-1.14 ,-3.50 , -   , 1 ,-1.11 ,-3.50 , -   , 1 ,-1.21 ,-3.50 , -   , 2 ,-1.08 ,-3.50 , -   , 18 ,-0.33 ,-3.50 , -   , 22 , 0.05 ,-3.50 , -   ,, 1 ,-1.16 ,-3.50 , -   ,, 1 ,-1.16 ,-3.50 , -   
 3 ,, 2 ,-1.07 ,-3.00 , -   , 1 ,-1.23 ,-3.00 , -   , 1 ,-1.10 ,-3.00 , -   , 2 ,-1.12 ,-3.00 , -   , 2 ,-1.18 ,-3.00 , -   , 2 ,-1.24 ,-3.00 , -   , 2 ,-1.03 ,-3.00 , -   , 2 ,-1.30 ,-3.00 , -   , 2 ,-1.31 ,-3.00 , -   , 2 ,-1.09 ,-3.00 , -   , 1 ,-1.50 ,-3.00 , -   , 1 ,-1.03 ,-3.00 , -   , 2 ,-1.30 ,-3.00 , -   , 1 ,-0.94 ,-3.00 , -   , 2 ,-0.98 ,-3.00 , -   , 3 ,-1.26 ,-3.00 , -   , 2 ,-0.92 ,-3.00 , -   , 2 ,-1.49 ,-3.00 , -   , 1 ,-1.21 ,-3.00 , -   ,, 2 ,-1.30 ,-3.00 , -   , 1 ,-1.05 ,-3.00 , -   , 2 ,-1.61 ,-3.00 , -   , 2 ,-1.19 ,-3.00 , -   , 2 ,-1.14 ,-3.00 , -   , 2 ,-0.99 ,-3.00 , -   , 3 ,-1.15 ,-3.00 , -   , 2 ,-0.99 ,-3.00 , -   , 2 ,-1.04 ,-3.00 , -   , 2 ,-1.27 ,-3.00 , -   , 2 ,-1.23 ,-3.00 , -   , 3 ,-1.18 ,-3.00 , -   , 2 ,-1.09 ,-3.00 , -   , 2 ,-1.04 ,-3.00 , -   , 2 ,-1.23 ,-3.00 , -   , 3 ,-1.08 ,-3.00 , -   , 1 ,-1.11 ,-3.00 , -   , 3 ,-1.07 ,-3.00 , -   , 2 ,-1.08 ,-3.00 , -   , 2 ,-1.20 ,-3.00 , -   , 48 , 1.48 ,-3.00 , -   ,, 1 ,-1.16 ,-3.00 , -   ,, 2 ,-1.11 ,-3.00 , -   
 4 ,, 2 ,-1.07 ,-2.50 , -   , 2 ,-1.17 ,-2.50 , -   , 2 ,-1.04 ,-2.50 , -   , 2 ,-1.12 ,-2.50 , -   , 3 ,-1.14 ,-2.50 , -   , 3 ,-1.17 ,-2.50 , -   , 2 ,-1.03 ,-2.50 , -   , 3 ,-1.25 ,-2.50 , -   , 3 ,-1.25 ,-2.50 , -   , 2 ,-1.09 ,-2.50 , -   , 2 ,-1.42 ,-2.50 , -   , 2 ,-0.97 ,-2.50 , -   , 2 ,-1.30 ,-2.50 , -   , 2 ,-0.90 ,-2.50 , -   , 3 ,-0.93 ,-2.50 , -   , 3 ,-1.26 ,-2.50 , -   , 2 ,-0.92 ,-2.50 , -   , 2 ,-1.49 ,-2.50 , -   , 1 ,-1.21 ,-2.50 , -   ,, 2 ,-1.30 ,-2.50 , -   , 2 ,-0.99 ,-2.50 , -   , 3 ,-1.54 ,-2.50 , -   , 3 ,-1.12 ,-2.50 , -   , 2 ,-1.14 ,-2.50 , -   , 2 ,-0.99 ,-2.50 , -   , 3 ,-1.15 ,-2.50 , -   , 2 ,-0.99 ,-2.50 , -   , 2 ,-1.04 ,-2.50 , -   , 2 ,-1.27 ,-2.50 , -   , 2 ,-1.23 ,-2.50 , -   , 4 ,-1.13 ,-2.50 , -   , 2 ,-1.09 ,-2.50 , -   , 3 ,-1.00 ,-2.50 , -   , 3 ,-1.17 ,-2.50 , -   , 3 ,-1.08 ,-2.50 , -   , 2 ,-1.05 ,-2.50 , -   , 3 ,-1.07 ,-2.50 , -   , 3 ,-1.01 ,-2.50 , -   , 21 ,-0.17 ,-2.50 , -   , 2 ,-1.05 ,-2.50 , -   ,, 1 ,-1.16 ,-2.50 , -   ,, 2 ,-1.11 ,-2.50 , -   
 5 ,, 3 ,-1.01 ,-2.00 , -   , 2 ,-1.17 ,-2.00 , -   , 2 ,-1.04 ,-2.00 , -   , 2 ,-1.12 ,-2.00 , -   , 3 ,-1.14 ,-2.00 , -   , 3 ,-1.17 ,-2.00 , -   , 2 ,-1.03 ,-2.00 , -   , 3 ,-1.25 ,-2.00 , -   , 3 ,-1.25 ,-2.00 , -   , 3 ,-1.04 ,-2.00 , -   , 2 ,-1.42 ,-2.00 , -   , 3 ,-0.92 ,-2.00 , -   , 2 ,-1.30 ,-2.00 , -   , 3 ,-0.86 ,-2.00 , -   , 3 ,-0.93 ,-2.00 , -   , 3 ,-1.26 ,-2.00 , -   , 3 ,-0.87 ,-2.00 , -   , 2 ,-1.49 ,-2.00 , -   , 1 ,-1.21 ,-2.00 , -   ,, 2 ,-1.30 ,-2.00 , -   , 2 ,-0.99 ,-2.00 , -   , 4 ,-1.47 ,-2.00 , -   , 3 ,-1.12 ,-2.00 , -   , 2 ,-1.14 ,-2.00 , -   , 2 ,-0.99 ,-2.00 , -   , 3 ,-1.15 ,-2.00 , -   , 3 ,-0.95 ,-2.00 , -   , 2 ,-1.04 ,-2.00 , -   , 3 ,-1.20 ,-2.00 , -   , 2 ,-1.23 ,-2.00 , -   , 4 ,-1.13 ,-2.00 , -   , 2 ,-1.09 ,-2.00 , -   , 3 ,-1.00 ,-2.00 , -   , 3 ,-1.17 ,-2.00 , -   , 3 ,-1.08 ,-2.00 , -   , 2 ,-1.05 ,-2.00 , -   , 3 ,-1.07 ,-2.00 , -   , 3 ,-1.01 ,-2.00 , -   , 28 , 0.21 ,-2.00 , -   , 17 ,-0.23 ,-2.00 , -   ,, 1 ,-1.16 ,-2.00 , -   ,, 2 ,-1.11 ,-2.00 , -   
 6 ,, 3 ,-1.01 ,-1.50 , -   , 2 ,-1.17 ,-1.50 , -   , 3 ,-0.98 ,-1.50 , -   , 3 ,-1.08 ,-1.50 , -   , 4 ,-1.09 ,-1.50 , -   , 4 ,-1.10 ,-1.50 , -   , 2 ,-1.03 ,-1.50 , -   , 3 ,-1.25 ,-1.50 , -   , 4 ,-1.19 ,-1.50 , -   , 3 ,-1.04 ,-1.50 , -   , 2 ,-1.42 ,-1.50 , -   , 3 ,-0.92 ,-1.50 , -   , 3 ,-1.22 ,-1.50 , -   , 3 ,-0.86 ,-1.50 , -   , 3 ,-0.93 ,-1.50 , -   , 4 ,-1.20 ,-1.50 , -   , 3 ,-0.87 ,-1.50 , -   , 2 ,-1.49 ,-1.50 , 0.01 , 2 ,-1.16 ,-1.50 , -   ,, 2 ,-1.30 ,-1.50 , -   , 2 ,-0.99 ,-1.50 , -   , 5 ,-1.40 ,-1.50 , 0.04 , 3 ,-1.12 ,-1.50 , -   , 2 ,-1.14 ,-1.50 , -   , 3 ,-0.95 ,-1.50 , -   , 3 ,-1.15 ,-1.50 , -   , 4 ,-0.90 ,-1.50 , -   , 2 ,-1.04 ,-1.50 , -   , 3 ,-1.20 ,-1.50 , -   , 3 ,-1.19 ,-1.50 , -   , 5 ,-1.07 ,-1.50 , -   , 2 ,-1.09 ,-1.50 , -   , 3 ,-1.00 ,-1.50 , -   , 3 ,-1.17 ,-1.50 , -   , 3 ,-1.08 ,-1.50 , -   , 2 ,-1.05 ,-1.50 , -   , 4 ,-1.00 ,-1.50 , -   , 3 ,-1.01 ,-1.50 , -   , 10 ,-0.77 ,-1.50 , -   , 23 , 0.10 ,-1.50 , -   ,, 1 ,-1.16 ,-1.50 , -   ,, 2 ,-1.11 ,-1.50 , -   
 7 ,, 3 ,-1.01 ,-1.00 , 0.07 , 2 ,-1.17 ,-1.00 , 0.10 , 4 ,-0.91 ,-1.00 , 0.05 , 5 ,-1.01 ,-1.00 , 0.10 , 5 ,-1.05 ,-1.00 , 0.13 , 4 ,-1.10 ,-1.00 , 0.13 , 2 ,-1.03 ,-1.00 , 0.07 , 4 ,-1.20 ,-1.00 , 0.13 , 4 ,-1.19 ,-1.00 , 0.15 , 3 ,-1.04 ,-1.00 , 0.07 , 2 ,-1.42 ,-1.00 , 0.15 , 3 ,-0.92 ,-1.00 , 0.03 , 3 ,-1.22 ,-1.00 , 0.13 , 3 ,-0.86 ,-1.00 , -   , 4 ,-0.88 ,-1.00 , 0.01 , 4 ,-1.20 ,-1.00 , 0.16 , 4 ,-0.83 ,-1.00 , -   , 3 ,-1.44 ,-1.00 , 0.17 , 2 ,-1.16 ,-1.00 , 0.11 ,, 2 ,-1.30 ,-1.00 , 0.14 , 2 ,-0.99 ,-1.00 , 0.02 , 5 ,-1.40 ,-1.00 , 0.12 , 3 ,-1.12 ,-1.00 , 0.10 , 2 ,-1.14 ,-1.00 , 0.09 , 3 ,-0.95 ,-1.00 , 0.01 , 4 ,-1.10 ,-1.00 , 0.09 , 4 ,-0.90 ,-1.00 , 0.02 , 3 ,-1.00 ,-1.00 , 0.03 , 3 ,-1.20 ,-1.00 , 0.14 , 3 ,-1.19 ,-1.00 , 0.14 , 5 ,-1.07 ,-1.00 , 0.11 , 2 ,-1.09 ,-1.00 , 0.08 , 3 ,-1.00 ,-1.00 , 0.03 , 3 ,-1.17 ,-1.00 , 0.13 , 3 ,-1.08 ,-1.00 , 0.10 , 3 ,-0.99 ,-1.00 , 0.06 , 4 ,-1.00 ,-1.00 , 0.05 , 3 ,-1.01 ,-1.00 , 0.08 , 56 , 1.72 ,-1.00 , 0.09 , 16 ,-0.28 ,-1.00 , 0.05 ,, 1 ,-1.16 ,-1.00 , 0.09 ,, 2 ,-1.11 ,-1.00 , 0 
 8 ,, 4 ,-0.94 ,-0.50 , 0.25 , 2 ,-1.17 ,-0.50 , 0.27 , 4 ,-0.91 ,-0.50 , 0.34 , 5 ,-1.01 ,-0.50 , 0.23 , 5 ,-1.05 ,-0.50 , 0.23 , 4 ,-1.10 ,-0.50 , 0.29 , 3 ,-0.99 ,-0.50 , 0.26 , 4 ,-1.20 ,-0.50 , 0.17 , 4 ,-1.19 ,-0.50 , 0.19 , 5 ,-0.95 ,-0.50 , 0.22 , 3 ,-1.35 ,-0.50 , 0.17 , 3 ,-0.92 ,-0.50 , 0.30 , 3 ,-1.22 ,-0.50 , 0.24 , 3 ,-0.86 ,-0.50 , 0.34 , 5 ,-0.84 ,-0.50 , 0.28 , 5 ,-1.13 ,-0.50 , 0.20 , 4 ,-0.83 ,-0.50 , 0.26 , 3 ,-1.44 ,-0.50 , 0.20 , 2 ,-1.16 ,-0.50 , 0.21 ,, 2 ,-1.30 ,-0.50 , 0.21 , 3 ,-0.94 ,-0.50 , 0.35 , 5 ,-1.40 ,-0.50 , 0.17 , 3 ,-1.12 ,-0.50 , 0.26 , 3 ,-1.07 ,-0.50 , 0.28 , 3 ,-0.95 ,-0.50 , 0.34 , 5 ,-1.05 ,-0.50 , 0.24 , 5 ,-0.86 ,-0.50 , 0.32 , 3 ,-1.00 ,-0.50 , 0.28 , 5 ,-1.07 ,-0.50 , 0.20 , 3 ,-1.19 ,-0.50 , 0.19 , 5 ,-1.07 ,-0.50 , 0.28 , 2 ,-1.09 ,-0.50 , 0.28 , 4 ,-0.95 ,-0.50 , 0.30 , 3 ,-1.17 ,-0.50 , 0.21 , 3 ,-1.08 ,-0.50 , 0.21 , 4 ,-0.92 ,-0.50 , 0.26 , 4 ,-1.00 ,-0.50 , 0.35 , 3 ,-1.01 ,-0.50 , 0.28 , 42 , 0.96 ,-0.50 , 0.27 , 19 ,-0.12 ,-0.50 , 0.29 ,, 1 ,-1.16 ,-0.50 , 0.25 ,, 2 ,-1.11 ,-0.50 , 0 
